timestamp,Source IP,Destination IP,Throughput,Avg Throughput,Min Throughput,Max Throughput,Total Measured Time,Total Bytes Sent,Total Bytes Sent By Source,Total Bytes Sent By Destination,Total Bytes Received,Total Bytes Received By Source,Total Bytes Received By Destination,Bytes Lost Percentage,Total Bytes Lost,Total Bytes Lost By Source,Total Bytes Lost By Destination,Datagrams Lost,Datagrams Lost By Source,Datagrams Lost By Destination,Maximum Consecutive DG Lost,Max Maximum Consecutive DG Lost,Max Maximum Consecutive DG Lost By Source,Max Maximum Consecutive DG Lost By Destination,Total Datagrams Sent,Total Datagrams Sent By Source,Total Datagrams Sent By Destination,Total Datagrams Received,Total Datagrams Received By Source,Total Datagrams Received By Destination,Total Duplicate DG Sent,Total Duplicate DG Sent By Source,Total Duplicate DG Sent By Destination,Total Duplicate DG Received,Total Duplicate DG Received By Source,Total Duplicate DG Received By Destination,Total DG Out of Order,Jitter,Avg Jitter,Min Jitter,Max Jitter,Delay Variation,Max Delay Variation,One-Way Delay,Avg One-Way Delay,Min One-Way Delay,Max One-Way Delay,Estimated Error,Maximum Error,Mos,Avg Mos,Min Mos,Max Mos,R-value,Avg R-value,End-to-End Delay,Avg End-to-End Delay,Jitter Buffer Lost Datagrams,Total Jitter Buffer Lost Datagrams
2000,192.168.1.166,10.1.0.163,930931068,930931068,930931068,930931068,2,232732767,232732767,0,232732767,0,232732767,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4000,192.168.1.166,10.1.0.163,925600000,928265534,925600000,930931068,4,464132767,464132767,0,464132767,0,464132767,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6000,192.168.1.166,10.1.0.163,899200000,918577022,899200000,930931068,6,688932767,688932767,0,688932767,0,688932767,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8000,192.168.1.166,10.1.0.163,869331068,906265534,869331068,930931068,8,906265534,906265534,0,906265534,0,906265534,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10000,192.168.1.166,10.1.0.163,937337864,912480000,869331068,937337864,10,1140600000,1140600000,0,1140600000,0,1140600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
